"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-04 07:48:32,FALSE,NA,"705661187330023424",NA,"<a href=""https://play.google.com/store/apps/details?id=org.mariotaku.twidere"" rel=""nofollow"">Twidere for Android #4</a>","rouge2507",102,TRUE,FALSE,NA,NA
"2","#HandofGod hysteria rules. Sigh…. https://t.co/0MWc3Y5xGG",FALSE,0,NA,2016-03-04 07:46:10,FALSE,NA,"705660594117091328",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","edrybicki",0,FALSE,FALSE,NA,NA
"3","RT @SFriedScientist: People are freaking out about the #HandOfGod as if there weren't millions of publications with equally tenuous introdu…",FALSE,0,NA,2016-03-04 07:41:16,FALSE,NA,"705659360219942912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pimientoc",10,TRUE,FALSE,NA,NA
"4","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/SdhGdkPBMs #HandOfGod https:/…",FALSE,0,NA,2016-03-04 07:31:39,FALSE,NA,"705656938042945536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shyakaa",64,TRUE,FALSE,NA,NA
"5","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/SdhGdkPBMs #HandOfGod https:/…",FALSE,0,NA,2016-03-04 07:28:41,FALSE,NA,"705656194678046721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MancImmunoGroup",64,TRUE,FALSE,NA,NA
"6","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/SdhGdkPBMs #HandOfGod https:/…",FALSE,0,NA,2016-03-04 07:27:04,FALSE,NA,"705655784135389184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BioMickWatson",64,TRUE,FALSE,NA,NA
"7","RT @SFriedScientist: It took @PLOSONE one day to review and retract #HandofGod paper. It took the Lancet 12 years to retract Wakefield's an…",FALSE,0,NA,2016-03-04 07:18:22,FALSE,NA,"705653597220909056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","s_lump",62,TRUE,FALSE,NA,NA
"8","This also needs saying re #HandofGod... https://t.co/Acqo23xHHU",FALSE,0,NA,2016-03-04 07:13:35,FALSE,NA,"705652391434125312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","zhangschmidt",0,FALSE,FALSE,NA,NA
"9","Oops. I've seen some review process fails myself, but this is epic. The paper's been retracted since. #handofgod  https://t.co/l32QOje6Fc",FALSE,0,NA,2016-03-04 07:12:15,FALSE,NA,"705652058125410304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UusitaloLaura",0,FALSE,FALSE,NA,NA
"10","Now lets mess with one last sacred territory. Science. #handofgod",FALSE,0,NA,2016-03-04 07:11:26,FALSE,NA,"705651851367034880",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","avidooo",0,FALSE,FALSE,NA,NA
"11","Can't believe #HandofGod. Replace ""Creator"" with ""nature""... and it's still a Fail in Evo101, for teleology https://t.co/eUiuQC4wrH",FALSE,0,NA,2016-03-04 07:10:33,FALSE,NA,"705651630335635456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","zhangschmidt",0,FALSE,FALSE,NA,NA
"12","RT @iddux: It took @plosone 2 days to retract #handofgod, and people are still upset over ""quality"". 
 #arseniclife to be retracted in...?",FALSE,0,NA,2016-03-04 07:08:48,FALSE,NA,"705651189715640321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aglernino",15,TRUE,FALSE,NA,NA
"13","RT @SFriedScientist: It took @PLOSONE one day to review and retract #HandofGod paper. It took the Lancet 12 years to retract Wakefield's an…",FALSE,0,NA,2016-03-04 07:02:18,FALSE,NA,"705649554062848002",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ruiduarte16",62,TRUE,FALSE,NA,NA
"14","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-04 07:00:35,FALSE,NA,"705649121038721024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","seriouspalates",102,TRUE,FALSE,NA,NA
"15","RT @lucaborger: Seems #handofgod @altmetric score is still way below the one of #crappyGabor https://t.co/CqaZWlZy0f or the faster-than-lig…",FALSE,0,NA,2016-03-04 06:52:16,FALSE,NA,"705647027737112577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WolfeBarrett",1,TRUE,FALSE,NA,NA
"16","RT @iddux: It took @plosone 2 days to retract #handofgod, and people are still upset over ""quality"". 
 #arseniclife to be retracted in...?",FALSE,0,NA,2016-03-04 06:48:19,FALSE,NA,"705646033590550529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","timms_peter",15,TRUE,FALSE,NA,NA
"17","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-04 06:40:34,FALSE,NA,"705644082765262848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrCarpineti",102,TRUE,FALSE,NA,NA
"18","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/SdhGdkPBMs #HandOfGod https:/…",FALSE,0,NA,2016-03-04 06:37:33,FALSE,NA,"705643324670017536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","paulorabezerra",64,TRUE,FALSE,NA,NA
"19","It may take another millennium to realise that the Creator in  #handofgod was right after all.",FALSE,0,NA,2016-03-04 06:34:36,FALSE,NA,"705642582286553088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Matigpharma",0,FALSE,FALSE,NA,NA
"20","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-04 06:20:54,FALSE,NA,"705639135520788480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vinc_robin",102,TRUE,FALSE,NA,NA
"21","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-04 06:06:46,FALSE,NA,"705635578545467392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","s0undsg00d1",102,TRUE,FALSE,NA,NA
"22","RT @iddux: It took @plosone 2 days to retract #handofgod, and people are still upset over ""quality"". 
 #arseniclife to be retracted in...?",FALSE,0,NA,2016-03-04 06:03:47,FALSE,NA,"705634827752476672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","surt_lab",15,TRUE,FALSE,NA,NA
"23","RT @danfalk: PLoS ONE paper credits God for the design of the human hand, slipped past peer review; mayhem ensues: https://t.co/iOU2hfdLqC …",FALSE,0,NA,2016-03-04 06:01:18,FALSE,NA,"705634202499174400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jillcabatbat",7,TRUE,FALSE,NA,NA
"24","RT @iddux: It took @plosone 2 days to retract #handofgod, and people are still upset over ""quality"". 
 #arseniclife to be retracted in...?",FALSE,0,NA,2016-03-04 05:55:31,FALSE,NA,"705632748447227904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","merenbey",15,TRUE,FALSE,NA,NA
"25","RT @FPolubriaginof: Is anyone actually reviewing PLOS ONE submissions? #handofgod @PLOSONE   https://t.co/5cEAdSyVY3",FALSE,0,NA,2016-03-04 05:52:54,FALSE,NA,"705632088662216704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gwinniejones",1,TRUE,FALSE,NA,NA
"26","RT @danfalk: PLoS ONE paper credits God for the design of the human hand, slipped past peer review; mayhem ensues: https://t.co/iOU2hfdLqC …",FALSE,0,NA,2016-03-04 05:52:44,FALSE,NA,"705632044995313664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gwinniejones",7,TRUE,FALSE,NA,NA
"27","La main de l’homme crée par le Créateur ? Un papier scientifique promeut des idé https://t.co/bBcQWbUJ3O ##Creatorgate ##HandofGod #science",FALSE,0,NA,2016-03-04 05:50:30,FALSE,NA,"705631483390664704",NA,"<a href=""http://actualite.housseniawriting.com"" rel=""nofollow"">Actualite Houssenia Writing</a>","HousseniaWritin",0,FALSE,FALSE,NA,NA
"28","Is anyone actually reviewing PLOS ONE submissions? #handofgod @PLOSONE   https://t.co/5cEAdSyVY3",FALSE,0,NA,2016-03-04 05:46:58,FALSE,NA,"705630595775275008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FPolubriaginof",1,FALSE,FALSE,NA,NA
"29","RT @danfalk: PLoS ONE paper credits God for the design of the human hand, slipped past peer review; mayhem ensues: https://t.co/iOU2hfdLqC …",FALSE,0,NA,2016-03-04 05:43:28,FALSE,NA,"705629713708888070",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OrangeSliceLife",7,TRUE,FALSE,NA,NA
"30","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/SdhGdkPBMs #HandOfGod https:/…",FALSE,0,NA,2016-03-04 05:38:24,FALSE,NA,"705628440016265221",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ErikssonESK",64,TRUE,FALSE,NA,NA
"31","RT @danfalk: PLoS ONE paper credits God for the design of the human hand, slipped past peer review; mayhem ensues: https://t.co/iOU2hfdLqC …",FALSE,0,NA,2016-03-04 05:36:36,FALSE,NA,"705627986960121857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mybeardislong",7,TRUE,FALSE,NA,NA
