"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"680","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:51:38,FALSE,NA,"705450574515458048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anilgb",111,TRUE,FALSE,NA,NA
"681","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:50:16,FALSE,NA,"705450229693353984",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","AngelusWorld",111,TRUE,FALSE,NA,NA
"682","RT @DoctorZen: Indeed. When considering #HandOfGod, remember Elsevier has an entire journal on homeopathy: https://t.co/CBQB1XYi6z https://…",FALSE,0,NA,2016-03-03 17:50:11,FALSE,NA,"705450210424659968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","doc_sabine",19,TRUE,FALSE,NA,NA
"683","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:50:03,FALSE,NA,"705450175255416832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mol_Biol_Marine",111,TRUE,FALSE,NA,NA
"684","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:49:05,FALSE,NA,"705449932585607168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HemiMalkki",111,TRUE,FALSE,NA,NA
"685","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:48:00,FALSE,NA,"705449662535364608",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","santiagorratti",111,TRUE,FALSE,NA,NA
"686","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:47:22,FALSE,NA,"705449500802949120",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","terrip5831",111,TRUE,FALSE,NA,NA
"687","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:47:11,FALSE,NA,"705449454653014016",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","miredrev",111,TRUE,FALSE,NA,NA
"688","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:47:05,FALSE,NA,"705449429092978688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FabianStrid",111,TRUE,FALSE,NA,NA
"689","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:46:48,FALSE,NA,"705449358221844480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cundurraga",111,TRUE,FALSE,NA,NA
"690","RT @CT_Bergstrom: Q: Why is @PLOSOne like English goalkeeper Peter Shilton?

A: Neither blocked the #HandOfGod https://t.co/UuubfuDi1N",FALSE,0,NA,2016-03-03 17:44:49,FALSE,NA,"705448861633024000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BehavEvolLab",49,TRUE,FALSE,NA,NA
"691","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:44:24,FALSE,NA,"705448755932356608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BehavEvolLab",111,TRUE,FALSE,NA,NA
"692","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:44:09,FALSE,NA,"705448691394584576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wolfgangcramer",111,TRUE,FALSE,NA,NA
"693","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:43:40,FALSE,NA,"705448569063354368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AEOnuoha",111,TRUE,FALSE,NA,NA
"694","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:42:52,FALSE,NA,"705448368827473921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NaturaCharrier",111,TRUE,FALSE,NA,NA
"695","RT @CT_Bergstrom: Q: Why is @PLOSOne like English goalkeeper Peter Shilton?

A: Neither blocked the #HandOfGod https://t.co/UuubfuDi1N",FALSE,0,NA,2016-03-03 17:42:12,FALSE,NA,"705448200472289280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paucarazo",49,TRUE,FALSE,NA,NA
"696","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:41:29,FALSE,NA,"705448022826737665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CoE_Palaeo",111,TRUE,FALSE,NA,NA
"697","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:41:07,FALSE,NA,"705447927896997888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tom_J_Giordano",111,TRUE,FALSE,NA,NA
"698","RT @CT_Bergstrom: Let's look on the bright side. @PLOSONE's #HandOfGod paper will have awesome @altmetric and @impactstory scores.",FALSE,0,NA,2016-03-03 17:41:07,FALSE,NA,"705447927645396993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paucarazo",11,TRUE,FALSE,NA,NA
"699","Is it a poor review by PLos or Poor english editing? “design by the Creator” #HandofGod. https://t.co/BOlGqhzsap",FALSE,0,NA,2016-03-03 17:40:29,FALSE,NA,"705447770044375041",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","GeneOmm",0,FALSE,FALSE,NA,NA
"700","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:38:00,FALSE,NA,"705447143612375041",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","murasime",111,TRUE,FALSE,NA,NA
"701","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:37:37,FALSE,NA,"705447049995677696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cskappak",111,TRUE,FALSE,NA,NA
"702","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:37:01,FALSE,NA,"705446896936988673",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bo2152",111,TRUE,FALSE,NA,NA
"703","Shame on you PLoS.  What a joke as peer reviewed science.
#Creatorgate  #HandofGod. https://t.co/faFeBRKzm8",FALSE,5,NA,2016-03-03 17:35:32,FALSE,NA,"705446522758926336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","craigstanford7",1,FALSE,FALSE,NA,NA
"704","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:35:17,FALSE,NA,"705446461950042113",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","ThomasChalberg",111,TRUE,FALSE,NA,NA
"705","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:34:50,FALSE,NA,"705446347017588736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lurino",111,TRUE,FALSE,NA,NA
"706","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:34:38,FALSE,NA,"705446296983904256",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","NewsdeskSCIENCE",111,TRUE,FALSE,NA,NA
"707","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:34:32,FALSE,NA,"705446273478991872",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","Adeoream",111,TRUE,FALSE,NA,NA
"708","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:34:10,FALSE,NA,"705446181627940864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bedoor11",111,TRUE,FALSE,NA,NA
"709","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:33:52,FALSE,NA,"705446104133926912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dvwz",111,TRUE,FALSE,NA,NA
"710","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:33:38,FALSE,NA,"705446044658765824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ia42",111,TRUE,FALSE,NA,NA
"711","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:33:30,FALSE,NA,"705446014182883330",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CorbinBrodie",111,TRUE,FALSE,NA,NA
"712","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:32:53,FALSE,NA,"705445855470428160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jnode",111,TRUE,FALSE,NA,NA
"713","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:32:46,FALSE,NA,"705445826026467328",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","PaulVek",111,TRUE,FALSE,NA,NA
"714","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:32:22,FALSE,NA,"705445728555048961",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bumbling_Folly",111,TRUE,FALSE,NA,NA
"715","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:31:43,FALSE,NA,"705445562074722305",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","glialfire",111,TRUE,FALSE,NA,NA
"716","RT @NatureNews: Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https:/…",FALSE,0,NA,2016-03-03 17:31:27,FALSE,NA,"705445498216263685",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jochen_mn",111,TRUE,FALSE,NA,NA
"717","Paper that says human hand was 'designed by Creator' sparks peer review concerns https://t.co/1B1f8IAHU1 #HandOfGod https://t.co/739tW4wTej",FALSE,59,NA,2016-03-03 17:31:04,FALSE,NA,"705445399339859968",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NatureNews",111,FALSE,FALSE,NA,NA
"718","RT @WyoWeeds: Which is worse:
Publishing ""Creator"" 3 times in otherwise ok article? #HandOfGod
Publishing work that is fundamentally flawed…",FALSE,0,NA,2016-03-03 17:28:16,FALSE,NA,"705444695334203392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sigmasqa",2,TRUE,FALSE,NA,NA
"719","@TetZoo ""Sukunaku tomo hito wa mizukara no ishi sae jiyuu ni wa dekinai."" #HandOfGod https://t.co/6nCxfrpWgf",FALSE,0,"TetZoo",2016-03-03 17:08:53,FALSE,"705413686811357184","705439817375440896","303804147","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SympanScience",0,FALSE,FALSE,NA,NA
"720","RT @Lycaonpictus93: Amazing comment on the #HandofGod article in @PLOSONE https://t.co/IVXOsW7nta",FALSE,0,NA,2016-03-03 17:03:40,FALSE,NA,"705438504507961344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SympanScience",16,TRUE,FALSE,NA,NA
"721","RT @Lycaonpictus93: Amazing comment on the #HandofGod article in @PLOSONE https://t.co/IVXOsW7nta",FALSE,0,NA,2016-03-03 16:51:21,FALSE,NA,"705435402904150016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jasonluchtefeld",16,TRUE,FALSE,NA,NA
"722","Love this!Looking fwd2<ed><U+00A0><U+00BD><ed><U+00B1><U+0080>ing the drama unfold 4the Harris' in S2of #HandofGod @perlmutations @DanaDelany @_Benipedia_ https://t.co/YstY3lqW2b",FALSE,3,NA,2016-03-03 16:48:34,FALSE,NA,"705434703122272256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ghbphorn",0,FALSE,FALSE,NA,NA
"723","RT @Lycaonpictus93: Amazing comment on the #HandofGod article in @PLOSONE https://t.co/IVXOsW7nta",FALSE,0,NA,2016-03-03 16:38:15,FALSE,NA,"705432107401682944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BTRadford",16,TRUE,FALSE,NA,NA
"724","RT @Lycaonpictus93: Amazing comment on the #HandofGod article in @PLOSONE https://t.co/IVXOsW7nta",FALSE,0,NA,2016-03-03 16:36:42,FALSE,NA,"705431717373468676",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RadioProzac",16,TRUE,FALSE,NA,NA
"725",". @IDoubtIt I agree, but I'm wary of piling on when it might have been a mistake of some sort. #handofgod",FALSE,0,"IDoubtIt",2016-03-03 16:33:47,FALSE,"705430474722775040","705430984469168129","17668502","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TetZoo",0,FALSE,FALSE,NA,NA
"726","#handofgod altmetrics are through the roof. https://t.co/QsgBoFtmIH",FALSE,2,NA,2016-03-03 16:32:12,FALSE,NA,"705430586425380864",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","iddux",0,FALSE,FALSE,NA,NA
"727","RT @TetZoo: Authors of #handofgod #PLOS paper are saying that it's a misunderstanding of their intended meaning, not support for ID/creatio…",FALSE,0,NA,2016-03-03 16:31:01,FALSE,NA,"705430287031775232",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","IDoubtIt",1,TRUE,FALSE,NA,NA
"728","RT @CacheraMarie: du créationnisme dans une publi...en 2016 #handofgod on n'a pas le cul sorti des ronces!!  https://t.co/mdlGLmzKBL",FALSE,0,NA,2016-03-03 15:49:20,FALSE,NA,"705419795852890114",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Inhibitrice",1,TRUE,FALSE,NA,NA
"729","Which is worse:
Publishing ""Creator"" 3 times in otherwise ok article? #HandOfGod
Publishing work that is fundamentally flawed? #ArsenicLife",FALSE,4,NA,2016-03-03 15:46:41,FALSE,NA,"705419129709137920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WyoWeeds",2,FALSE,FALSE,NA,NA
"730","RT @dkfzEpigenetics: @DoctorZen High publication volume and low editorial standards make @PLOSONE vulnerable to publishing twisted papers #…",FALSE,0,NA,2016-03-03 15:37:28,FALSE,NA,"705416812393943040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Iiserpune_igem",1,TRUE,FALSE,NA,NA
"731","RT @CT_Bergstrom: Q: Why is @PLOSOne like English goalkeeper Peter Shilton?

A: Neither blocked the #HandOfGod https://t.co/UuubfuDi1N",FALSE,0,NA,2016-03-03 15:34:08,FALSE,NA,"705415972547641345",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","arnaud_badiane",49,TRUE,FALSE,NA,NA
"732","I can't imagine what the marriage of them was like. Before everything happend...
#HandOfGod @talalona @JohnnyFerro https://t.co/LTxoeD0sFc",FALSE,4,NA,2016-03-03 15:32:13,FALSE,NA,"705415490118750208",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","_HandOfGod",1,FALSE,FALSE,NA,NA
