"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2855","RT @polesasunder: Creationism in @PLOSONE ? I am confused and rather disappointed https://t.co/bcV4i1NKja",FALSE,0,NA,2016-03-03 07:30:22,FALSE,NA,"705294226670678016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2piruben",26,TRUE,FALSE,NA,NA
"2856","RT @polesasunder: Creationism in @PLOSONE ? I am confused and rather disappointed https://t.co/bcV4i1NKja",FALSE,0,NA,2016-03-03 07:30:14,FALSE,NA,"705294193342726144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CienciaxPueblo",26,TRUE,FALSE,NA,NA
"2857","What??? #PLOSONE published a paper with #creationist comments? https://t.co/E4kMNjtMIT",FALSE,0,NA,2016-03-03 07:30:10,FALSE,NA,"705294180122230784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Marionafr",0,FALSE,FALSE,NA,NA
"2858","RT @tiagopeixoto: Creationist paper in @PLOSONE. Sloppy and shameful. Nonexistent peer review and editing... https://t.co/cvr3eiBGyI",FALSE,0,NA,2016-03-03 07:29:27,FALSE,NA,"705293997632307200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vincentgauthier",10,TRUE,FALSE,NA,NA
"2859","RT @polesasunder: Creationism in @PLOSONE ? I am confused and rather disappointed https://t.co/bcV4i1NKja",FALSE,0,NA,2016-03-03 07:29:01,FALSE,NA,"705293886823014400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dani_Blasi",26,TRUE,FALSE,NA,NA
"2860","RT @RosieWoodroffe: Holy moley! @PLoSONE the ""S"" still stands for ""science""...! https://t.co/y7Va1HUGwd",FALSE,0,NA,2016-03-03 07:26:29,FALSE,NA,"705293252946173952",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","tncoulson",3,TRUE,FALSE,NA,NA
"2861","RT @polesasunder: Creationism in @PLOSONE ? I am confused and rather disappointed https://t.co/bcV4i1NKja",FALSE,0,NA,2016-03-03 07:26:17,FALSE,NA,"705293200022441985",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","USagarra",26,TRUE,FALSE,NA,NA
"2862","RT @cynocephale: Who doesn't like the fresh smell of #creationism in #science journals? https://t.co/8DLfXdkRXu #PLOSONE #evolution https:/…",FALSE,0,NA,2016-03-03 07:25:24,FALSE,NA,"705292978286419968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SimonCarrignon",8,TRUE,FALSE,NA,NA
"2863","@jaegc @PLOSONE Yes they posted a comment. They are investigating about this ""language issue""",FALSE,0,"jaegc",2016-03-03 07:21:19,FALSE,"705173509027336193","705291950224756736","298475370","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tom_Jove",0,FALSE,FALSE,NA,NA
"2864","RT @CT_Bergstrom: Everyone is shocked that the creationist #HandOfGod paper got into  @PLOSOne. It happens more often then you think: https…",FALSE,0,NA,2016-03-03 07:15:47,FALSE,NA,"705290558416277504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","isisgiraldoa",15,TRUE,FALSE,NA,NA
